size,mean_mem_ascon,mean_mem_aes,mem_diff_aes_minus_ascon
16,2770.990740740741,3463.2033195020745,692.2125787613336
32,2781.98288973384,3441.2,659.21711026616
48,2755.104364326376,3451.8571428571427,696.7527785307666
64,2759.9194756554307,3448.1176470588234,688.1981714033927
80,2780.405714285714,3450.3653846153848,669.9596703296706
96,2773.774378585086,3451.6960985626283,677.9217199775421
112,2766.7418738049714,3459.613526570048,692.8716527650768
128,2764.035781544256,3460.3115789473686,696.2757974031124
144,2767.832391713748,3444.866666666667,677.0342749529186
160,2763.956356736243,3437.346062052506,673.3897053162632
176,2771.587121212121,3456.788321167883,685.2011999557621
192,2782.164485981308,3432.8987654320986,650.7342794507904
208,2795.708178438662,3428.969199178645,633.261020739983
224,2759.2546816479403,3445.0641330166272,685.809451368687
240,2786.048417132216,3436.3643892339546,650.3159721017387
256,2788.221579961464,3450.513447432763,662.2918674712987
272,2787.169776119403,3447.177304964539,660.0075288451358
288,2770.838649155722,3430.524109014675,659.685459858953
304,2775.696394686907,3430.413625304136,654.7172306172292
320,2790.833648393195,3453.286012526096,662.452364132901
336,2783.151923076923,3438.7609756097563,655.6090525328332
352,2787.0456273764257,3432.066037735849,645.0204103594233
368,2784.621468926553,3449.1510791366904,664.5296102101374
384,2780.4543726235743,3437.097087378641,656.6427147550667
400,2776.6245283018866,3437.4054054054054,660.7808771035188
416,2784.2490494296576,3433.762711864407,649.5136624347492
432,2776.009578544061,3450.008474576271,673.9988960322103
448,2779.9312977099235,3434.1658536585364,654.234555948613
464,2765.897579143389,3449.762711864407,683.8651327210177
480,2782.506641366224,3454.804979253112,672.298337886888
496,2776.6191369606004,3438.529832935561,661.9106959749606
512,2763.709125475285,3438.311300639659,674.6021751643739
528,2794.3780718336484,3431.4143920595534,637.036320225905
544,2778.9410646387832,3448.722891566265,669.7818269274817
560,2767.1943396226416,3453.805907172996,686.6115675503543
576,2780.967365967366,3454.7677261613694,673.8003601940036
592,2770.8831775700933,3435.391666666667,664.5084890965736
608,2781.311475409836,3447.182897862233,665.8714224523969
624,2782.504672897196,3454.78640776699,672.281734869794
640,2772.365795724465,3424.3406326034064,651.9748368789415
656,2783.513253012048,3439.386091127098,655.87283811505
672,2779.5643340857787,3437.745762711864,658.1814286260851
688,2763.6848341232226,3447.37649880096,683.6916646777372
704,2776.199040767386,3439.5136268343817,663.3145860669956
720,2765.154929577465,3430.523690773068,665.3687611956034
736,2768.8598574821854,3447.4698795180725,678.6100220358871
752,2763.2985436893205,3423.054726368159,659.7561826788387
768,2763.935034802784,3441.179856115108,677.2448213123243
784,2759.462264150944,3457.034188034188,697.5719238832439
800,2774.487980769231,3443.734693877551,669.2467131083199
816,2770.6992840095463,3438.043795620438,667.3445116108915
832,2762.6833333333334,3446.1216545012167,683.4383211678833
848,2780.4018691588785,3435.1619047619047,654.7600356030262
864,2778.395734597156,3448.0851063829787,669.6893717858225
880,2782.234597156398,3435.0220048899755,652.7874077335773
896,2754.8954869358668,3438.269230769231,683.3737438333642
912,2765.1525423728813,3423.735294117647,658.5827517447656
928,2769.516826923077,3445.2115384615386,675.6947115384614
944,2753.850490196078,3431.9825708061003,678.1320806100221
960,2736.1026252983293,3430.192307692308,694.0896823939788
976,2750.488425925926,3440.206451612903,689.718025686977
992,2769.176470588235,3440.528117359413,671.3516467711779
1008,2776.6004784688994,3427.186440677966,650.5859622090666
1024,2772.624096385542,3450.620347394541,677.996251008999
1040,2756.127358490566,3433.4669926650367,677.3396341744706
1056,2769.2028301886794,3437.404710920771,668.2018807320915
1072,2758.864168618267,3438.9027431421446,680.0385745238777
1088,2775.834532374101,3450.4433497536947,674.6088173795938
1104,2777.0874704491725,3452.5617433414045,675.474272892232
1120,2762.702637889688,3443.521951219512,680.8193133298241
1136,2746.7064676616915,3439.640918580376,692.9344509186844
1152,2760.757869249395,3436.05076142132,675.2928921719254
1168,2779.39312039312,3425.683698296837,646.2905779037169
1184,2791.720779220779,3434.5975308641973,642.8767516434182
1200,2749.344497607656,3450.885572139304,701.5410745316476
1216,2776.914691943128,3443.711252653928,666.7965607107999
1232,2774.495215311005,3440.0101781170483,665.5149628060435
1248,2764.6600496277915,3427.2912621359224,662.6312125081308
1264,2749.2019464720192,3425.777777777778,676.5758313057586
1280,2762.525059665871,3439.1820448877806,676.6569852219095
1296,2780.398663697105,3454.3509513742074,673.9522876771025
1312,2779.6029411764707,3447.174447174448,667.571505997977
1328,2776.3253012048194,3453.4852320675104,677.159930862691
1344,2788.6844660194174,3437.0805687203792,648.3961027009618
1360,2768.2033898305085,3435.725768321513,667.5223784910045
1376,2777.970660146699,3434.045340050378,656.0746799036788
1392,2780.037688442211,3442.660240963856,662.6225525216446
1408,2782.8588516746413,3445.289760348584,662.4309086739427
1424,2777.6880952380952,3444.842105263158,667.1540100250627
1440,2770.1065375302665,3423.9071729957805,653.800635465514
1456,2765.038095238095,3428.4851485148515,663.4470532767564
1472,2765.306220095694,3437.4676258992804,672.1614058035866
1488,2781.0416666666665,3422.880778588808,641.8391119221415
1504,2764.507281553398,3445.191066997518,680.6837854441201
1520,2765.6682808716705,3435.047210300429,669.3789294287585
1536,2783.470023980816,3429.7243107769423,646.254286796126
1552,2787.5130641330165,3428.3084577114428,640.7953935784262
1568,2763.249382716049,3447.606694560669,684.3573118446202
1584,2782.354523227384,3418.0812182741115,635.7266950467274
1600,2767.620689655173,3449.4505494505493,681.8298597953763
