id,algo,size,time_us,heap_delta,heap_peak_used,stack_peak_used,stack_used,current_before,current_after,power_before,power_after,power_delta,iteration,current_before_corr,current_after_corr,power_before_corr,power_after_corr,power_delta_corr,time_s,power_mW,mem_total
4201,ASCON-128,16,1371,4444,2628,0,80,105.4,106.9,494,502,8,71,111.10000000000001,112.60000000000001,519.3032145960035,526.3145091225023,7.011294526498773,0.001371,7.011294526498773,2708
4301,ASCON-128,16,1370,4444,2860,0,80,113.1,120.2,530,564,34,72,118.8,125.9,555.2945264986968,588.4813205907907,33.18679409209392,0.00137,33.18679409209392,2940
4401,ASCON-128,16,1374,4444,2632,0,80,109.9,114.9,514,540,26,73,115.60000000000001,120.60000000000001,540.3370981754996,563.7080799304953,23.370981754995682,0.001374,23.370981754995682,2712
4501,ASCON-128,16,1368,4444,2632,0,80,115.9,120.5,544,566,22,74,121.60000000000001,126.2,568.3822762814945,589.8835794960904,21.501303214595964,0.001368,21.501303214595964,2712
4601,ASCON-128,16,1373,4444,2632,0,80,115.1,118.1,540,554,14,75,120.8,123.8,564.642919200695,578.6655082536925,14.022589052997432,0.001373,14.022589052997432,2712
4801,ASCON-128,16,1369,4444,2632,0,80,112.3,117.7,528,554,26,77,118.0,123.4,551.5551694178974,576.7958297132928,25.2406602953954,0.001369,25.2406602953954,2712
4901,ASCON-128,16,1369,4444,2796,0,80,109.5,115.9,514,544,30,78,115.2,121.60000000000001,538.4674196351,568.3822762814945,29.91485664639447,0.001369,29.91485664639447,2876
5001,ASCON-128,16,1369,4444,2632,0,80,115.7,118.7,544,558,14,79,121.4,124.4,567.4474370112946,581.4700260642919,14.022589052997319,0.001369,14.022589052997319,2712
5101,ASCON-128,16,1369,4444,2632,0,80,113.6,119.2,534,560,26,80,119.3,124.9,557.6316246741964,583.8071242397915,26.175499565595146,0.001369,26.175499565595146,2712
5201,ASCON-128,16,1372,4444,2788,0,80,110.1,119.0,518,558,40,81,115.8,124.7,541.2719374456995,582.8722849695916,41.6003475238922,0.001372,41.6003475238922,2868
5301,ASCON-128,16,1374,4444,2860,0,80,107.7,115.9,504,544,40,82,113.4,121.60000000000001,530.0538662033015,568.3822762814945,38.328410078192974,0.001374,38.328410078192974,2940
5401,ASCON-128,16,1369,4444,2632,0,80,114.0,117.4,534,550,16,83,119.7,123.10000000000001,559.5013032145961,575.3935708079931,15.892267593397037,0.001369,15.892267593397037,2712
5501,ASCON-128,16,1373,4444,2632,0,80,112.0,116.1,528,544,16,84,117.7,121.8,550.1529105125978,569.3171155516942,19.164205039096373,0.001373,19.164205039096373,2712
5601,ASCON-128,16,1369,4444,2860,0,80,108.4,115.1,508,540,32,85,114.10000000000001,120.8,533.3258036490009,564.642919200695,31.317115551694087,0.001369,31.317115551694087,2940
5701,ASCON-128,16,1373,4444,2860,0,80,112.3,115.9,528,544,16,86,118.0,121.60000000000001,551.5551694178974,568.3822762814945,16.82710686359701,0.001373,16.82710686359701,2940
5801,ASCON-128,16,1369,4444,2632,0,80,113.3,117.7,530,554,24,87,119.0,123.4,556.2293657688966,576.7958297132928,20.56646394439622,0.001369,20.56646394439622,2712
6001,ASCON-128,16,1368,4444,2808,0,80,115.9,118.9,544,558,14,94,121.60000000000001,124.60000000000001,568.3822762814945,582.4048653344918,14.022589052997319,0.001368,14.022589052997319,2888
6101,ASCON-128,16,1369,4444,2652,0,80,115.1,119.0,540,558,18,95,120.8,124.7,564.642919200695,582.8722849695916,18.229365768896628,0.001369,18.229365768896628,2732
6201,ASCON-128,16,1369,4444,2632,0,80,112.5,120.2,528,564,36,96,118.2,125.9,552.4900086880973,588.4813205907907,35.99131190269338,0.001369,35.99131190269338,2712
6301,ASCON-128,16,1370,4444,2860,0,80,114.2,120.2,534,564,30,97,119.9,125.9,560.4361424847958,588.4813205907907,28.045178105994864,0.00137,28.045178105994864,2940
6401,ASCON-128,16,1374,4444,2656,0,80,115.7,119.2,544,560,16,98,121.4,124.9,567.4474370112946,583.8071242397915,16.35968722849691,0.001374,16.35968722849691,2736
6501,ASCON-128,16,1374,4444,2860,0,80,117.2,120.4,550,564,14,99,122.9,126.10000000000001,574.4587315377933,589.4161598609905,14.957428323197291,0.001374,14.957428323197291,2940
6601,ASCON-128,16,1370,4444,2860,0,80,114.9,121.8,538,570,32,100,120.60000000000001,127.5,563.7080799304953,595.9600347523892,32.251954821893946,0.00137,32.251954821893946,2940
6701,ASCON-128,16,1370,4444,2728,0,80,115.1,121.8,540,570,30,101,120.8,127.5,564.642919200695,595.9600347523892,31.3171155516942,0.00137,31.3171155516942,2808
6801,ASCON-128,16,1369,4444,2624,0,80,116.6,118.9,548,558,10,102,122.3,124.60000000000001,571.6542137271938,582.4048653344918,10.750651607297982,0.001369,10.750651607297982,2704
6901,ASCON-128,16,1374,4444,2860,0,80,116.6,121.5,548,570,22,103,122.3,127.2,571.6542137271938,594.5577758470895,22.903562119895696,0.001374,22.903562119895696,2940
7001,ASCON-128,16,1374,4444,1416,0,80,118.7,121.3,558,566,8,104,124.4,127.0,581.4700260642919,593.6229365768896,12.152910512597714,0.001374,12.152910512597714,1496
7101,ASCON-128,16,1371,4444,2860,0,80,116.6,122.2,548,574,26,105,122.3,127.9,571.6542137271938,597.8297132927889,26.175499565595146,0.001371,26.175499565595146,2940
7201,ASCON-128,16,1374,4444,2860,0,80,116.8,121.1,548,566,18,106,122.5,126.8,572.5890529973935,592.6880973066899,20.099044309296346,0.001374,20.099044309296346,2940
7301,ASCON-128,16,1370,4444,2860,0,80,115.5,122.4,540,574,34,107,121.2,128.1,566.5125977410947,598.7645525629887,32.251954821893946,0.00137,32.251954821893946,2940
7401,ASCON-128,16,1369,4444,2860,0,80,116.6,120.5,548,564,16,108,122.3,126.2,571.6542137271938,589.8835794960904,18.229365768896628,0.001369,18.229365768896628,2940
7501,ASCON-128,16,1373,4444,2844,0,80,112.3,118.9,528,558,30,109,118.0,124.60000000000001,551.5551694178974,582.4048653344918,30.849695916594328,0.001373,30.849695916594328,2924
7601,ASCON-128,16,1370,4444,2632,0,80,116.8,120.0,548,560,12,110,122.5,125.7,572.5890529973935,587.5464813205908,14.957428323197291,0.00137,14.957428323197291,2712
7701,ASCON-128,16,1369,4444,2860,0,80,115.3,122.0,540,570,30,111,121.0,127.7,565.5777584708949,596.8948740225891,31.3171155516942,0.001369,31.3171155516942,2940
7801,ASCON-128,16,1369,4444,2624,0,80,116.4,124.1,548,580,32,112,122.10000000000001,129.79999999999998,570.7193744569939,606.7106863596872,35.99131190269327,0.001369,35.99131190269327,2704
7901,ASCON-128,16,1373,4444,2860,0,80,117.9,121.5,554,570,16,113,123.60000000000001,127.2,577.7306689834927,594.5577758470895,16.827106863596782,0.001373,16.827106863596782,2940
8001,ASCON-128,16,1370,4444,2860,0,80,115.5,120.0,540,564,24,114,121.2,125.7,566.5125977410947,587.5464813205908,21.03388357949609,0.00137,21.03388357949609,2940
8101,ASCON-128,16,1370,4444,2632,0,80,118.5,121.5,554,570,16,115,124.2,127.2,580.5351867940922,594.5577758470895,14.022589052997319,0.00137,14.022589052997319,2712
8201,ASCON-128,16,1369,4444,2620,0,80,116.6,121.3,548,566,18,116,122.3,127.0,571.6542137271938,593.6229365768896,21.968722849695837,0.001369,21.968722849695837,2700
8301,ASCON-128,16,1370,4444,2632,0,80,111.6,120.7,522,564,42,117,117.3,126.4,548.2832319721981,590.8184187662903,42.53518679409217,0.00137,42.53518679409217,2712
8401,ASCON-128,16,1370,4444,2860,0,80,115.7,120.0,540,560,20,118,121.4,125.7,567.4474370112946,587.5464813205908,20.099044309296232,0.00137,20.099044309296232,2940
8501,ASCON-128,16,1369,4444,1416,0,80,117.0,118.5,548,554,6,119,122.7,124.2,573.5238922675934,580.5351867940922,7.011294526498773,0.001369,7.011294526498773,1496
8601,ASCON-128,16,1373,4444,1588,0,80,116.1,121.1,544,566,22,120,121.8,126.8,569.3171155516942,592.6880973066899,23.370981754995682,0.001373,23.370981754995682,1668
8701,ASCON-128,16,1368,4444,2632,0,80,114.8,120.9,558,566,8,121,120.5,126.60000000000001,563.2406602953953,591.75325803649,28.512597741094737,0.001368,28.512597741094737,2712
8801,ASCON-128,16,1369,4444,2844,0,80,116.8,120.4,548,564,16,122,122.5,126.10000000000001,572.5890529973935,589.4161598609905,16.82710686359701,0.001369,16.82710686359701,2924
8901,ASCON-128,16,1373,4444,2632,0,80,111.6,121.1,524,566,42,123,117.3,126.8,548.2832319721981,592.6880973066899,44.404865334491774,0.001373,44.404865334491774,2712
9001,ASCON-128,16,1374,4444,2852,0,80,110.7,120.0,554,560,6,124,116.4,125.7,544.0764552562989,587.5464813205908,43.470026064291915,0.001374,43.470026064291915,2932
9101,ASCON-128,16,1369,4444,2860,0,80,117.6,120.0,550,564,14,125,123.3,125.7,576.3284100781929,587.5464813205908,11.218071242397968,0.001369,11.218071242397968,2940
9201,ASCON-128,16,1369,4444,1400,0,80,112.3,120.0,524,564,40,126,118.0,125.7,551.5551694178974,587.5464813205908,35.99131190269338,0.001369,35.99131190269338,1480
9301,ASCON-128,16,1369,4444,2860,0,80,115.1,120.7,540,564,24,127,120.8,126.4,564.642919200695,590.8184187662903,26.17549956559526,0.001369,26.17549956559526,2940
9401,ASCON-128,16,1370,4444,2844,0,80,110.7,119.0,518,558,40,128,116.4,124.7,544.0764552562989,582.8722849695916,38.79582971329273,0.00137,38.79582971329273,2924
9501,ASCON-128,16,1373,4444,2632,0,80,112.7,119.8,528,560,32,129,118.4,125.5,553.4248479582972,586.611642050391,33.186794092093805,0.001373,33.186794092093805,2712
9601,ASCON-128,16,1374,4444,2860,0,80,114.4,118.7,538,554,16,130,120.10000000000001,124.4,561.3709817549957,581.4700260642919,20.099044309296232,0.001374,20.099044309296232,2940
9701,ASCON-128,16,1369,4444,2852,0,80,114.8,119.2,538,558,20,131,120.5,124.9,563.2406602953953,583.8071242397915,20.56646394439622,0.001369,20.56646394439622,2932
9801,ASCON-128,16,1372,4444,2860,0,80,113.5,119.8,530,560,30,132,119.2,125.5,557.1642050390965,586.611642050391,29.447437011294483,0.001372,29.447437011294483,2940
9901,ASCON-128,16,1370,4444,2640,0,80,114.8,121.3,538,566,28,133,120.5,127.0,563.2406602953953,593.6229365768896,30.38227628149434,0.00137,30.38227628149434,2720
10001,ASCON-128,16,1370,4444,2520,0,80,110.7,120.2,518,564,46,134,116.4,125.9,544.0764552562989,588.4813205907907,44.404865334491774,0.00137,44.404865334491774,2600
10101,ASCON-128,16,1369,4444,2620,0,80,116.3,120.5,544,564,20,135,122.0,126.2,570.2519548218941,589.8835794960904,19.63162467419636,0.001369,19.63162467419636,2700
10301,ASCON-128,16,1375,4444,2604,0,80,112.3,120.5,528,564,36,137,118.0,126.2,551.5551694178974,589.8835794960904,38.328410078192974,0.001375,38.328410078192974,2684
10401,ASCON-128,16,1370,4444,2824,0,80,110.7,119.0,518,558,40,138,116.4,124.7,544.0764552562989,582.8722849695916,38.79582971329273,0.00137,38.79582971329273,2904
10501,ASCON-128,16,1369,4444,2860,0,80,117.6,120.0,550,564,14,139,123.3,125.7,576.3284100781929,587.5464813205908,11.218071242397968,0.001369,11.218071242397968,2940
10601,ASCON-128,16,1372,4444,2788,0,80,116.4,120.5,544,564,20,140,122.10000000000001,126.2,570.7193744569939,589.8835794960904,19.164205039096487,0.001372,19.164205039096487,2868
10701,ASCON-128,16,1374,4444,2856,0,80,115.3,116.6,540,548,8,141,121.0,122.3,565.5777584708949,571.6542137271938,6.076455256298914,0.001374,6.076455256298914,2936
10801,ASCON-128,16,1370,4444,2620,0,80,119.0,120.4,558,564,6,142,124.7,126.10000000000001,582.8722849695916,589.4161598609905,6.5438748913989,0.00137,6.5438748913989,2700
10901,ASCON-128,16,1370,4444,2636,0,80,116.6,121.8,548,570,22,143,122.3,127.5,571.6542137271938,595.9600347523892,24.305821025195428,0.00137,24.305821025195428,2716
11001,ASCON-128,16,1369,4444,2840,0,80,119.0,120.5,558,564,6,144,124.7,126.2,582.8722849695916,589.8835794960904,7.011294526498773,0.001369,7.011294526498773,2920
11101,ASCON-128,16,1371,4444,2840,0,80,117.9,120.4,554,564,10,145,123.60000000000001,126.10000000000001,577.7306689834927,589.4161598609905,11.685490877497841,0.001371,11.685490877497841,2920
11201,ASCON-128,16,1374,4444,2600,0,80,116.3,120.7,544,564,20,146,122.0,126.4,570.2519548218941,590.8184187662903,20.56646394439622,0.001374,20.56646394439622,2680
11301,ASCON-128,16,1374,4444,2620,0,80,117.9,120.0,550,560,10,147,123.60000000000001,125.7,577.7306689834927,587.5464813205908,9.815812337098123,0.001374,9.815812337098123,2700
11401,ASCON-128,16,1369,4444,2860,0,80,110.3,119.8,518,560,42,148,116.0,125.5,542.2067767158992,586.611642050391,44.404865334491774,0.001369,44.404865334491774,2940
11501,ASCON-128,16,1371,4444,2636,0,80,115.3,119.8,540,560,20,149,121.0,125.5,565.5777584708949,586.611642050391,21.03388357949609,0.001371,21.03388357949609,2716
11601,ASCON-128,16,1370,4444,2784,0,80,114.9,118.9,538,558,20,150,120.60000000000001,124.60000000000001,563.7080799304953,582.4048653344918,18.6967854039965,0.00137,18.6967854039965,2864
11701,ASCON-128,16,1372,4444,3052,0,80,118.5,121.7,554,570,16,151,124.2,127.4,580.5351867940922,595.4926151172893,14.957428323197178,0.001372,14.957428323197178,3132
11801,ASCON-128,16,1369,4444,2636,0,80,112.7,120.9,528,566,38,152,118.4,126.60000000000001,553.4248479582972,591.75325803649,38.32841007819286,0.001369,38.32841007819286,2716
11901,ASCON-128,16,1371,4444,2636,0,80,118.3,121.5,554,570,16,153,124.0,127.2,579.6003475238923,594.5577758470895,14.957428323197178,0.001371,14.957428323197178,2716
