size,n_time,mean_time,median_time,std_time,ci95_low_time,ci95_high_time,throughput_Bps,n_power,mean_power,median_power,std_power,ci95_low_power,ci95_high_power,n_mem,mean_mem,median_mem,std_mem,ci95_low_mem,ci95_high_mem,energy_uJ,energy_per_byte_uJ,total_duty_cycle_energy_uJ,total_duty_cycle_energy_per_byte_uJ
16,482.0,1740.8070539419086,1741.0,1.3049211322242371,1740.690264656213,1740.9238432276045,9191.139226928894,482.0,24.20011824464384,22.436142484795823,10.870302087712384,23.22723583453572,25.17300065475196,482.0,3463.2033195020745,3388.0,179.56055201315752,3447.1328091157648,3479.273829888384,42.12773654650427,2.632983534156517,1032.1277365465044,64.50798353415652
32,420.0,1755.6571428571428,1756.0,0.7886857613395771,1755.58149724472,1755.7327884695658,18226.79338627783,420.0,25.82048322369782,23.370981754995626,11.7125389425796,24.69709261013593,26.94387383725971,420.0,3441.2,3388.0,197.26726839239603,3422.279405689796,3460.120594310204,45.33191580370811,1.4166223688658783,1035.3319158037082,32.35412236886588
48,476.0,1769.672268907563,1770.0,1.2870807029699192,1769.556348900798,1769.788188914328,27123.6662535436,476.0,25.38501047682322,23.37098175499568,11.295779235246606,24.367664165636256,26.40235678801018,476.0,3451.8571428571427,3388.0,180.24548339893093,3435.6234617781224,3468.090823936163,44.923149086762,0.9358989393075418,1034.923149086762,21.56089893930754
64,408.0,1784.453431372549,1784.0,0.797901418354034,1784.3757779436155,1784.5310848014824,35865.32373152102,408.0,25.96470247525596,23.37098175499568,10.66779410905043,24.926490519907425,27.00291443060449,408.0,3448.1176470588234,3388.0,237.7959108480877,3424.974853426724,3471.2604406909227,46.33280242653781,0.7239500379146533,1036.332802426538,16.192700037914655
80,416.0,1798.8557692307693,1799.0,0.8605772143148812,1798.7728300594597,1798.9387084020789,44472.71502718073,416.0,25.87212624473701,22.90356211989581,11.058995889992431,24.8063021218402,26.93795036763383,416.0,3450.3653846153848,3388.0,204.35532757264147,3430.6703924175395,3470.06037681323,46.54022355761197,0.5817527944701497,1036.540223557612,12.956752794470152
96,487.0,1812.811088295688,1813.0,1.3763284814664154,1812.68854526886,1812.933631322516,52956.42806899107,487.0,24.527533418846573,22.903562119895696,10.832621135427756,23.563038241790192,25.492028595902955,487.0,3451.6960985626283,3388.0,199.40489147978377,3433.941849271595,3469.4503478536617,44.46378455022811,0.4631644223982095,1034.4637845502282,10.77566442239821
112,414.0,1827.6618357487923,1828.0,0.8360187632296038,1827.5810678993423,1827.742603598242,61280.48296971394,414.0,25.256466756485644,22.90356211989581,10.55961778932632,24.23630111264314,26.276632400328147,414.0,3459.613526570048,3388.0,182.9669002750221,3441.937077540841,3477.289975599256,46.1602803966869,0.4121453606847045,1036.1602803966869,9.251431074970418
128,475.0,1841.6421052631576,1842.0,1.3416076812283426,1841.5211465474893,1841.7630639788265,69503.18937332815,475.0,25.14127212035301,23.37098175499557,10.36461256098672,24.2068035411088,26.07574069959723,475.0,3460.3115789473686,3388.0,153.98307955647516,3446.4285371323363,3474.194620762401,46.30122531672087,0.3617283227868818,1036.3012253167208,8.096103322786881
144,420.0,1856.5690476190475,1857.0,0.7862141835130462,1856.4936390643063,1856.6444561737885,77562.42633942026,420.0,24.587385710148528,22.903562119895696,10.747343162602029,23.55657040282827,25.618201017468785,420.0,3444.866666666667,3388.0,201.20109826024728,3425.5687649621773,3464.1645683711563,45.64817927133263,0.3170012449398099,1035.6481792713325,7.192001244939809
160,419.0,1870.890214797136,1871.0,0.8110331892928845,1870.8123324532464,1870.9680971410253,85520.78509713575,419.0,25.665688650939625,23.37098175499568,10.942695082980848,24.614877472332985,26.716499829546265,419.0,3437.346062052506,3380.0,196.31802646308307,3418.4939259740504,3456.198198130962,48.01768575307285,0.3001105359567053,1038.0176857530728,6.487610535956705
176,411.0,1885.4866180048664,1886.0,0.7030879607510591,1885.418443694223,1885.5547923155093,93344.60309574351,411.0,25.531802452537832,24.305821025195428,11.043630643125349,24.46096644321801,26.60263846185765,411.0,3456.788321167883,3388.0,165.32564011037837,3440.757664727535,3472.818977608232,48.139871857803904,0.2735219991920676,1038.1398718578039,5.898521999192067
192,405.0,1899.7456790123456,1900.0,0.8034654802167996,1899.6671932625864,1899.8241647621048,101066.1596029098,405.0,25.807334470294208,24.305821025195428,11.04050959733889,24.72885294892911,26.885815991659307,405.0,3432.8987654320986,3376.0,207.7716333077809,3412.6027940178537,3453.1947368463434,49.02737214676778,0.2553508965977488,1039.0273721467677,5.411600896597748
208,487.0,1913.796714579056,1914.0,1.337089418790124,1913.6776652483725,1913.9157639097384,108684.47960824834,487.0,25.646653120133017,22.90356211989581,11.28542507386803,24.641842011288947,26.651464228977087,487.0,3428.969199178645,3384.0,222.64000791284445,3409.1461839391063,3448.7922144181834,49.082480481259246,0.2359734638522079,1039.0824804812592,4.995588848467592
224,421.0,1928.574821852732,1929.0,0.7881459733646078,1928.4993183662984,1928.650325339165,116147.9437882576,421.0,26.027834930278534,23.83840139009567,10.98616047308606,24.97537327182141,27.080296588735653,421.0,3445.0641330166272,3376.0,168.2825519943605,3428.942856234328,3461.185409798927,50.19662711387423,0.2240920853297956,1040.1966271138742,4.643734942472653
240,483.0,1942.6045548654245,1943.0,1.322852114327932,1942.486284016338,1942.722825714511,123545.47372953432,483.0,25.381950702692595,23.37098175499568,11.067146079598096,24.392482001225584,26.371419404159607,483.0,3436.3643892339546,3380.0,201.6201590163381,3418.3383475158253,3454.390430952084,49.3070930464203,0.2054462210267512,1039.3070930464203,4.330446221026751
256,409.0,1957.447432762836,1958.0,0.781401149144759,1957.3714787543104,1957.5233867713616,130782.56698759424,409.0,25.72179395401894,24.305821025195428,10.990932192824776,24.653449789957,26.79013811808088,409.0,3450.513447432763,3388.0,159.61663766570118,3434.9983391284222,3466.0285557371035,50.34905954134901,0.1966760138333946,1040.349059541349,4.063863513833395
272,423.0,1971.8014184397164,1972.0,0.7209116610733199,1971.7325203292423,1971.8703165501904,137944.92561793223,423.0,25.436247234905206,22.903562119895696,10.679405309609445,24.415607832679925,26.456886637130488,423.0,3447.177304964539,3380.0,183.80260443858447,3429.611141411139,3464.7434685179387,50.1552283775694,0.1843942219763581,1040.1552283775693,3.824100104329299
288,477.0,1985.802935010482,1986.0,1.315291362252573,1985.684599103695,1985.921270917269,145029.49659427296,477.0,25.639485854065462,23.838401390095555,11.251362469873094,24.627208104304707,26.651763603826225,477.0,3430.524109014675,3384.0,221.7344206569853,3410.574807675556,3450.473410353795,50.91496626116294,0.1767880772957046,1040.914966261163,3.614288077295705
304,411.0,2000.6569343065687,2001.0,0.788062980685875,2000.5805204672624,2000.7333481458763,151950.08938669777,411.0,25.89686742301733,23.838401390095555,10.772858459892282,24.8522866021856,26.94144824384906,411.0,3430.413625304136,3380.0,228.00311125229751,3408.3055025630065,3452.5217480452657,51.81074738667751,0.1704300900877549,1041.8107473866776,3.4270090374561764
320,479.0,2014.6805845511485,2015.0,1.2660099713443258,2014.5669217114096,2014.7942473908868,158834.11120045758,479.0,25.72954805569815,23.838401390095555,10.965609717986704,24.745051591829537,26.71404451956676,479.0,3453.286012526096,3388.0,189.09132977587808,3436.3093235593883,3470.2627014928034,51.836820917090805,0.1619900653659087,1041.8368209170908,3.2557400653659085
336,410.0,2029.4829268292683,2030.0,0.7505181385519909,2029.410064271484,2029.5557893870528,165559.4119852708,410.0,24.85418406052001,23.37098175499557,10.959152550838931,23.79023657545532,25.918131545584707,410.0,3438.7609756097563,3388.0,229.1648416200502,3416.512963660307,3461.0089875592057,50.4411422110975,0.1501224470568378,1040.4411422110975,3.096551018485409
352,424.0,2043.9221698113208,2044.0,0.7694393337707846,2043.848721139424,2043.9956184832183,172217.90790228275,424.0,14.7501762208416,13.087749782797571,10.993641748040174,13.700751853942888,15.79960058774031,424.0,3432.066037735849,3376.0,212.7560348861598,3411.756901570475,3452.375173901223,30.14821218640191,0.0856483300750054,1020.1482121864019,2.8981483300750055
368,417.0,2058.340527577938,2058.0,0.713275697744173,2058.2718677263224,2058.409187429553,178784.80021623435,417.0,15.26679959247198,13.087749782797689,11.046945405135276,14.203421666207284,16.33017751873668,417.0,3449.1510791366904,3376.0,171.714372368533,3432.621869793969,3465.680288479412,31.42427232759542,0.0853920443684658,1021.4242723275954,2.7756094356728136
384,412.0,2072.8009708737864,2073.0,0.7277596386218601,2072.730490494193,2072.87145125338,185256.57088925684,412.0,14.826959250293116,13.087749782797571,11.041563771210726,13.75763146045998,15.896287040126248,412.0,3437.097087378641,3376.0,204.8378393496968,3417.2594268294065,3456.9347479278754,30.733335529113635,0.0800347279404,1020.7333355291137,2.6581597279404003
400,407.0,2087.2407862407863,2087.0,0.6516423896188375,2087.177288716141,2087.304283765432,191640.5632914149,407.0,15.756750352753825,14.957428323197291,10.719215466521131,14.71224548458238,16.801255220925267,407.0,3437.4054054054054,3388.0,199.09536856370497,3418.0050973936222,3456.8057134171886,32.888131994881675,0.0822203299872041,1022.8881319948816,2.5572203299872043
416,413.0,2101.5641646489103,2102.0,0.7299914163677325,2101.493554278304,2101.634775019517,197947.7985957652,413.0,15.098899157065231,13.087749782797571,11.569631022090611,13.979795677310028,16.218002636820433,413.0,3433.762711864407,3388.0,210.2804227193671,3413.4227760150857,3454.102647713728,31.73130539413593,0.0762771764282113,1021.7313053941359,2.456084868735904
432,472.0,2115.5677966101694,2116.0,1.3144877090765534,2115.448905044314,2115.6866881760247,204200.4991247291,472.0,14.499911646468066,13.087749782797571,11.198781208552612,13.487014664347337,15.512808628588797,472.0,3450.008474576271,3388.0,170.39521916295573,3434.5967257400544,3465.420223412488,30.67554613296058,0.0710082086411124,1020.6755461329606,2.362674875307779
448,410.0,2130.4341463414635,2130.0,0.7379379702722089,2130.362505104245,2130.505787578681,210285.7770888334,410.0,16.828246911487362,15.6585577758471,11.737533933839725,15.688731821078814,17.96776200189591,410.0,3434.1658536585364,3388.0,224.1131215518504,3412.40827788441,3455.923429432663,35.85147184329795,0.0800256067930757,1025.851471843298,2.2898470353645046
464,413.0,2144.782082324455,2145.0,0.7857767927112101,2144.706075964239,2144.858088684671,216338.9949141732,413.0,15.49728102523756,14.022589052997432,11.042023982218543,14.429211746412085,16.56535030406304,413.0,3449.762711864407,3388.0,166.97628418433138,3433.6114845425946,3465.913939186219,33.23829066767628,0.0716342471286126,1023.2382906676763,2.2052549367837853
480,482.0,2158.7510373443984,2159.0,1.3184477748417014,2158.633037436168,2158.869037252629,222350.79066388088,482.0,16.09106640085656,14.957428323197178,11.124917449805482,15.09539614132853,17.086736660384588,482.0,3454.804979253112,3388.0,183.944037340938,3438.3421508119814,3471.2678076942425,34.73660628482669,0.0723679297600556,1024.7366062848266,2.1348679297600555
496,419.0,2173.634844868735,2174.0,0.720730731189882,2173.5656341392614,2173.7040555982085,228189.20168256373,419.0,16.2414378697366,14.022589052997432,10.871931847683111,15.197421982246214,17.28545375722699,419.0,3438.529832935561,3388.0,223.4618791392413,3417.0711119521748,3459.988553918947,35.30295528443011,0.0711753130734478,1025.30295528443,2.0671430550089314
512,469.0,2187.643923240938,2188.0,1.3377612223833335,2187.522538283576,2187.7653081983003,234041.7444359433,469.0,17.06829140878702,14.957428323197178,11.90983863923908,15.987623774510975,18.148959043063066,469.0,3438.311300639659,3380.0,182.7836430039637,3421.725990539935,3454.8966107393826,37.33934398053843,0.0729284062119891,1027.3393439805384,2.006522156211989
528,403.0,2202.436724565757,2202.0,0.728141634483058,2202.3654194098744,2202.508029721639,239734.4696039352,403.0,17.583329201277127,15.892267593397037,10.770883158799116,16.528562564872917,18.638095837681337,403.0,3431.4143920595534,3384.0,238.8133484842167,3408.0279762387354,3454.8008078803714,38.72616997302222,0.0733450188882996,1028.7261699730223,1.9483450188882998
544,415.0,2216.8168674698795,2217.0,0.7324136652734791,2216.7461947228408,2216.8875402169183,245396.9057989367,415.0,18.47264924162331,15.89226759339715,12.003383322952072,17.3144075082752,19.63089097497141,415.0,3448.722891566265,3388.0,213.3532097428128,3428.135813338464,3469.309969794066,40.95048042568523,0.0752766184295684,1030.9504804256853,1.8951295596060391
560,474.0,2230.8016877637133,2231.0,1.3619401111508482,2230.6787657614627,2230.924609765964,251030.83033856627,474.0,17.18210911810314,15.6585577758471,10.83103100415818,16.204553639292264,18.159664596914013,474.0,3453.805907172996,3388.0,178.8902964021518,3437.6601506622,3469.951663683792,38.32987802000476,0.0684462107500085,1028.3298780200048,1.8363033536071514
576,409.0,2245.6650366748167,2246.0,0.7493625141233247,2245.592196896108,2245.7378764535256,256494.17459555328,409.0,19.21220412142944,17.29452649869677,11.47335684640298,18.0969671593584,20.32744108350048,409.0,3454.7677261613694,3388.0,168.37879603990046,3438.40091569024,3471.1345366324995,43.1441750729539,0.0749030817238783,1033.1441750729539,1.7936530817238783
592,480.0,2259.602083333333,2260.0,1.3218873050758932,2259.4835281232868,2259.72063854338,261993.031590186,480.0,18.832142339994213,16.359687228496966,10.991439015060458,17.84636060494067,19.81792407504776,480.0,3435.391666666667,3388.0,222.30990033835235,3415.453509435858,3455.329823897476,42.5531480650808,0.0718803176775013,1032.553148065081,1.7441776149747987
608,421.0,2274.527315914489,2275.0,0.7447208920819053,2274.4559725013755,2274.5986593276034,267308.2867573957,421.0,18.610185091555216,17.29452649869677,11.035873430102244,17.552960988446372,19.66740919466406,421.0,3447.182897862233,3388.0,199.0084403382633,3428.1181159779267,3466.2476797465392,42.329374344966936,0.0696206814884324,1032.329374344967,1.697910155172643
624,412.0,2288.9441747572814,2289.0,0.7825904010457472,2288.8683842550267,2289.019965259536,272614.77448053914,412.0,20.75592772852648,19.164205039096487,10.938838032478335,19.69654848306929,21.81530697398367,412.0,3454.78640776699,3388.0,163.31231706404148,3438.970314804329,3470.602500729651,47.50915986589382,0.0761364741440606,1037.5091598658937,1.662674935682522
640,411.0,2303.352798053528,2303.0,0.701643162448574,2303.284763836492,2303.4208322705645,277855.8284865604,411.0,19.745352079330143,18.22936576889652,11.3889565652064,18.64103184328584,20.84967231537446,411.0,3424.3406326034064,3376.0,225.67717236232045,3402.458042497273,3446.22322270954,45.48051196047714,0.0710632999382455,1035.480511960477,1.6179382999382454
656,417.0,2317.736211031175,2318.0,0.7736390243351059,2317.661740611416,2317.810681450934,283034.79786776146,417.0,20.03739423752049,18.229365768896628,11.502157854384429,18.930197603681897,21.14459087135909,417.0,3439.386091127098,3388.0,228.6356000157013,3417.3776497617628,3461.3945324924334,46.441394199008656,0.0707948082301961,1036.4413941990088,1.5799411496936109
672,472.0,2331.716101694916,2332.0,1.3064901093280683,2331.5979334885487,2331.834269901282,288199.7510380984,472.0,21.03091269198486,19.164205039096487,10.993463034422012,20.03658613775968,22.025239246210045,472.0,3437.745762711864,3388.0,221.9467691749257,3417.6713270655064,3457.820198358222,49.038117757241054,0.0729733895197039,1039.038117757241,1.5461876752339896
688,417.0,2346.6163069544364,2347.0,0.760517777680355,2346.543099584647,2346.689514324226,293188.1100293397,417.0,20.359095521150408,18.6967854039965,10.493267646992908,19.349014563837745,21.36917647846307,417.0,3447.37649880096,3388.0,188.29915520312923,3429.2508398215805,3465.502157780338,47.77498554477458,0.0694403859662421,1037.7749855447746,1.5083938743383352
704,477.0,2360.6184486373168,2361.0,1.2772719517150002,2360.5035333121214,2360.733363962512,298226.9330337518,477.0,22.546872922461,21.03388357949609,11.59591024602815,21.50359643379505,23.59014941112696,477.0,3439.5136268343817,3388.0,217.38900945440253,3419.955279309586,3459.0719743591776,53.224564179842616,0.0756030741190946,1043.2245641798427,1.4818530741190947
720,401.0,2375.4364089775563,2376.0,0.732510117554155,2375.364496278237,2375.508321676876,303102.19935961365,401.0,22.205346754746493,20.56646394439622,10.533813386368449,21.171210929740624,23.23948257975236,401.0,3430.523690773068,3376.0,207.9691685378968,3410.1067382608803,3450.9406432852543,52.74738915519645,0.0732602627155506,1042.7473891551965,1.4482602627155508
736,415.0,2389.8048192771084,2390.0,0.7375215733285908,2389.7336536530097,2389.875984901207,307974.94174550724,415.0,21.839196926716426,20.099044309296342,11.187902727488908,20.759643312625062,22.91875054080778,415.0,3447.4698795180725,3388.0,193.06265017474905,3428.840697014536,3466.099062021609,52.191418064608726,0.0709122528051749,1042.1914180646088,1.416020948457349
752,402.0,2404.2960199004974,2404.0,0.6582937815632758,2404.231474159815,2404.36056564118,312773.466235294,402.0,22.366378360154048,21.03388357949609,10.778237830258234,21.30957156129564,23.42318515901246,402.0,3423.054726368159,3378.0,234.5035228615204,3400.06164334112,3446.0478093951983,53.77539447090699,0.0715098330730146,1043.775394470907,1.3879991947751422
768,417.0,2418.5419664268584,2419.0,0.7362776498823582,2418.471092409492,2418.6128404442247,317546.6916270381,417.0,21.736694397739843,19.164205039096487,11.516087279020422,20.628156918795177,22.845231876684508,417.0,3441.179856115108,3388.0,235.1921243632092,3418.540284332408,3463.819427897809,52.57110761232939,0.0684519630368872,1042.5711076123293,1.3575144630368872
784,468.0,2432.6047008547007,2433.0,1.344247525290563,2432.4825964252186,2432.726805284183,322288.2861833408,468.0,21.73001923262566,19.164205039096487,11.435186733056527,20.69130655077716,22.768731914474166,468.0,3457.034188034188,3388.0,150.5918904132152,3443.355206657909,3470.7131694104664,52.86054693494823,0.0674241670088625,1042.8605469349482,1.3301792690496788
800,392.0,2447.433673469388,2447.5,0.7640843109772238,2447.357799511972,2447.5095474268046,326873.0052512315,392.0,22.179777123707865,20.099044309296232,10.899008863080027,21.09750004710545,23.26205420031028,392.0,3443.734693877551,3388.0,217.444847980956,3422.1423108130434,3465.3270769420583,54.28353340260864,0.0678544167532608,1044.2835334026086,1.3053544167532607
816,411.0,2461.8710462287104,2462.0,0.7685359063317136,2461.79652581513,2461.945566642291,331455.21624701406,411.0,22.28147321381386,20.099044309296232,11.683643798458236,21.148578887323183,23.41436754030454,411.0,3438.043795620438,3376.0,209.114154912054,3417.767224049502,3458.3203671913734,54.85411377240892,0.0672231786426579,1044.854113772409,1.280458472760305
832,411.0,2476.333333333333,2476.0,0.7145411854407392,2476.264048470752,2476.4026181959152,335980.61650289403,411.0,22.72955919004104,20.099044309296232,11.37192130260183,21.62689076337126,23.83222761671082,411.0,3446.1216545012167,3388.0,193.29162800485733,3427.3793004460763,3464.864008556357,56.28596507427163,0.0676514003296534,1046.2859650742716,1.2575552464834996
848,420.0,2490.6690476190474,2491.0,0.7739765265162348,2490.594812820831,2490.743282417264,340470.7666041157,420.0,22.00767448595424,20.099044309296232,10.76933514864688,20.97474985026227,23.04059912164621,420.0,3435.1619047619047,3384.0,245.1105492660778,3411.65249389203,3458.671315631779,54.813833652241655,0.0646389547785868,1044.8138336522416,1.232091784967266
864,470.0,2504.668085106383,2505.0,1.3029581536248724,2504.549984581805,2504.786185630961,344955.8866253141,470.0,21.250686729393497,19.164205039096487,11.38155008615446,20.219059557066004,22.28231390172099,470.0,3448.0851063829787,3388.0,161.55911864769175,3433.441338576958,3462.728874189,53.22591683770563,0.0616040704140111,1043.2259168377057,1.2074374037473445
880,409.0,2519.545232273839,2520.0,0.7628204934520021,2519.471084348248,2519.619380199429,349269.37954029813,409.0,21.521874249881577,19.164205039096373,11.452650958255807,20.40864994828152,22.63509855148164,409.0,3435.0220048899755,3380.0,208.9810527223723,3414.708560665361,3455.33544911459,54.22533565588623,0.0616196996089616,1044.2253356558863,1.1866196996089617
896,416.0,2533.973557692308,2534.0,0.7292662339893925,2533.903273775763,2534.0438416088523,353594.84998572286,416.0,22.8024376796097,21.03388357949609,11.76790601717224,21.668291484616105,23.936583874603297,416.0,3438.269230769231,3382.0,203.24823593925456,3418.680935868397,3457.8575256700647,57.78077413105771,0.0644874711284126,1047.7807741310578,1.169398185414127
912,408.0,2548.3382352941176,2548.0,0.7340834085055706,2548.266792766905,2548.40967782133,357880.27953626064,408.0,21.88050884993441,20.099044309296232,11.269215491780484,20.78376531220158,22.97725238766724,408.0,3423.735294117647,3376.0,236.2675544315452,3400.7412433172394,3446.7293449180543,55.75893730997918,0.061139185646907,1045.7589373099793,1.1466655014363807
928,416.0,2562.7451923076924,2563.0,0.7651921321297129,2562.671445989203,2562.818938626181,362111.69287741696,416.0,21.82827223818753,20.332754126846226,10.68252498684288,20.798730954540943,22.85781352183412,416.0,3445.2115384615386,3388.0,183.70094466649425,3427.507137431635,3462.9159394914423,55.940299734798565,0.0602804954038777,1045.9402997347986,1.127090840231464
944,459.0,2576.864923747277,2577.0,1.1872919466845169,2576.756018588218,2576.973828906336,366336.6252924252,459.0,22.111290930118543,20.099044309296342,11.75807876106592,21.032773181154457,23.189808679082635,459.0,3431.9825708061003,3388.0,246.21175189213804,3409.3986308771982,3454.5665107350023,56.977810016593786,0.0603578495938493,1046.9778100165938,1.1090866631531715
960,416.0,2591.6466346153848,2592.0,0.723204529489125,2591.576934902953,2591.7163343278166,370420.86956521735,416.0,22.536143320189804,20.8001737619461,11.208304658141111,21.45592938392875,23.616357256450858,416.0,3430.192307692308,3376.0,214.0572191006871,3409.5622839480925,3450.8223314365227,58.40571999297988,0.060839291659354,1048.4057199929798,1.0920892916593539
976,465.0,2605.5935483870967,2606.0,1.326276747561937,2605.472686304134,2605.714410470059,374578.759839254,465.0,21.50431882514503,19.164205039096487,11.51171651774074,20.45526926639476,22.5533683838953,465.0,3440.206451612903,3384.0,208.5416324341185,3421.20229118653,3459.210612039276,56.03151439325709,0.0574093385176814,1046.031514393257,1.0717536008127635
992,409.0,2620.4303178484106,2620.0,0.7006020846940954,2620.3622176968147,2620.4984180000065,378563.7775762394,409.0,22.219003779003696,20.099044309296342,11.087900537688192,21.14123406636079,23.2967734916466,409.0,3440.528117359413,3388.0,206.88965235505145,3420.4179621131984,3460.638272605628,58.22335113488969,0.0586928942892033,1048.2233511348898,1.0566767652569453
1008,413.0,2634.7530266343824,2635.0,0.7419613156688709,2634.6812584432773,2634.8247948254875,382578.5528321845,413.0,21.86912738265283,20.566463944396105,11.672533205958736,20.74007041416308,22.99818435114258,413.0,3427.186440677966,3376.0,251.08795621743013,3402.8992870953643,3451.473594260568,57.6197495612974,0.0571624499616045,1047.6197495612973,1.0393053071044616
1024,403.0,2649.3002481389576,2649.0,0.6777743339243729,2649.233875331464,2649.366620946452,386517.1570188486,403.0,22.089347271657186,20.099044309296232,11.175335893701122,20.99497355341136,23.18372098990301,403.0,3450.620347394541,3388.0,170.67347511356795,3433.9067051968823,3467.3339895922,58.52131320802898,0.0571497199297158,1048.521313208029,1.0239465949297157
