size,n_time_ascon,mean_time_ascon,median_time_ascon,std_time_ascon,ci95_low_time_ascon,ci95_high_time_ascon,throughput_Bps_ascon,n_power_ascon,mean_power_ascon,median_power_ascon,std_power_ascon,ci95_low_power_ascon,ci95_high_power_ascon,n_mem_ascon,mean_mem_ascon,median_mem_ascon,std_mem_ascon,ci95_low_mem_ascon,ci95_high_mem_ascon,energy_uJ_ascon,energy_per_byte_uJ_ascon,total_duty_cycle_energy_uJ_ascon,total_duty_cycle_energy_per_byte_uJ_ascon,n_time_aes,mean_time_aes,median_time_aes,std_time_aes,ci95_low_time_aes,ci95_high_time_aes,throughput_Bps_aes,n_power_aes,mean_power_aes,median_power_aes,std_power_aes,ci95_low_power_aes,ci95_high_power_aes,n_mem_aes,mean_mem_aes,median_mem_aes,std_mem_aes,ci95_low_mem_aes,ci95_high_mem_aes,energy_uJ_aes,energy_per_byte_uJ_aes,total_duty_cycle_energy_uJ_aes,total_duty_cycle_energy_per_byte_uJ_aes,ascon_minus_aes_energy,ascon_minus_aes_total_energy
176,528.0,1562.2594696969695,1562.0,2.1051363279445314,1562.079495638681,1562.4394437552585,112657.34240301234,528.0,19.86267869836506,20.099044309296232,14.06253309671367,18.660432973164845,21.06492442356528,528.0,2771.587121212121,2716.0,226.9298096450725,2752.1862499971016,2790.9879924271404,31.030657890069097,0.1763105561935744,1021.030657890069,5.801310556193574,411.0,1885.4866180048664,1886.0,0.7030879607510591,1885.418443694223,1885.5547923155093,93344.60309574351,411.0,25.531802452537832,24.305821025195428,11.043630643125349,24.46096644321801,26.60263846185765,411.0,3456.788321167883,3388.0,165.32564011037837,3440.757664727535,3472.818977608232,48.139871857803904,0.2735219991920676,1038.1398718578039,5.898521999192067,-0.09721144299849319,-0.0972114429984936
192,535.0,1581.3364485981308,1581.0,2.104676108390387,1581.157700297622,1581.5151968986395,121416.28694526693,535.0,19.915571181500034,20.099044309296232,13.92619997402649,18.73283120171019,21.09831116128988,535.0,2782.164485981308,2716.0,214.95188698326425,2763.9088102807914,2800.420161681825,31.493218603956542,0.1640271802289403,1021.4932186039565,5.32027718022894,405.0,1899.7456790123456,1900.0,0.8034654802167996,1899.6671932625864,1899.8241647621048,101066.1596029098,405.0,25.807334470294208,24.305821025195428,11.04050959733889,24.72885294892911,26.885815991659307,405.0,3432.8987654320986,3376.0,207.7716333077809,3412.6027940178537,3453.1947368463434,49.02737214676778,0.2553508965977488,1039.0273721467677,5.411600896597748,-0.09132371636880848,-0.09132371636880787
208,538.0,1600.704460966543,1600.0,2.1131887409548,1600.525493050856,1600.8834288822295,129942.78773634753,538.0,20.54474370112945,20.56646394439616,14.127458284143366,19.348276147586503,21.7412112546724,538.0,2795.708178438662,2716.0,186.17756078957177,2779.9406280270982,2811.4757288502256,32.88606289181219,0.1581060715952509,1022.8860628918122,4.917721456210636,487.0,1913.796714579056,1914.0,1.337089418790124,1913.6776652483725,1913.9157639097384,108684.47960824834,487.0,25.646653120133017,22.90356211989581,11.28542507386803,24.641842011288947,26.651464228977087,487.0,3428.969199178645,3384.0,222.64000791284445,3409.1461839391063,3448.7922144181834,49.082480481259246,0.2359734638522079,1039.0824804812592,4.995588848467592,-0.07786739225695702,-0.07786739225695616
224,534.0,1619.741573033708,1619.0,2.10971890156584,1619.562227998981,1619.920918068435,138293.66593366952,534.0,20.74415343114764,21.03388357949609,14.642348135350012,19.499422470606504,21.98888439168877,534.0,2759.2546816479403,2716.0,251.24055941042403,2737.896980003978,2780.6123832919025,33.60016770981967,0.1500007487045521,1023.6001677098196,4.569643605847409,421.0,1928.574821852732,1929.0,0.7881459733646078,1928.4993183662984,1928.650325339165,116147.9437882576,421.0,26.027834930278534,23.83840139009567,10.98616047308606,24.97537327182141,27.080296588735653,421.0,3445.0641330166272,3376.0,168.2825519943605,3428.942856234328,3461.185409798927,50.19662711387423,0.2240920853297956,1040.1966271138742,4.643734942472653,-0.0740913366252435,-0.07409133662524425
240,537.0,1638.7541899441342,1638.0,2.2030986796356,1638.5674330393597,1638.9409468489089,146452.71479561052,537.0,19.647292371462267,20.099044309296232,13.952554061153531,18.46453290896188,20.830051833962653,537.0,2786.048417132216,2716.0,202.254470372687,2768.9032845910474,2803.1935496733845,32.19708269479121,0.1341545112282967,1022.1970826947912,4.259154511228297,483.0,1942.6045548654245,1943.0,1.322852114327932,1942.486284016338,1942.722825714511,123545.47372953432,483.0,25.381950702692595,23.37098175499568,11.067146079598096,24.392482001225584,26.371419404159607,483.0,3436.3643892339546,3380.0,201.6201590163381,3418.3383475158253,3454.390430952084,49.3070930464203,0.2054462210267512,1039.3070930464203,4.330446221026751,-0.0712917097984545,-0.07129170979845423
256,519.0,1658.042389210019,1657.0,2.0264026732535334,1657.86764367612,1658.217134743919,154398.947617963,519.0,19.773921981220987,21.03388357949609,13.646990374327236,18.59708252549064,20.95076143695133,519.0,2788.221579961464,2716.0,185.75867351047563,2772.2027999788456,2804.2403599440827,32.78600084579617,0.1280703158038912,1022.7860008457961,3.995257815803891,409.0,1957.447432762836,1958.0,0.781401149144759,1957.3714787543104,1957.5233867713616,130782.56698759424,409.0,25.72179395401894,24.305821025195428,10.990932192824776,24.653449789957,26.79013811808088,409.0,3450.513447432763,3388.0,159.61663766570118,3434.9983391284222,3466.0285557371035,50.34905954134901,0.1966760138333946,1040.349059541349,4.063863513833395,-0.06860569802950339,-0.06860569802950378
272,536.0,1677.1473880597016,1676.0,2.107998272394432,1676.9685254541298,1677.3262506652734,162180.14107554246,536.0,19.68307571611966,20.099044309296232,13.817351931558417,18.510680273037494,20.855471159201823,536.0,2787.169776119403,2716.0,188.02353973910965,2771.216072235026,2803.1234800037805,33.011419026271426,0.1213655111259978,1023.0114190262714,3.761071393478939,423.0,1971.8014184397164,1972.0,0.7209116610733199,1971.7325203292423,1971.8703165501904,137944.92561793223,423.0,25.436247234905206,22.903562119895696,10.679405309609445,24.415607832679925,26.456886637130488,423.0,3447.177304964539,3380.0,183.80260443858447,3429.611141411139,3464.7434685179387,50.1552283775694,0.1843942219763581,1040.1552283775693,3.824100104329299,-0.0630287108503603,-0.06302871085035999
288,533.0,1696.3658536585365,1696.0,2.1060504212957865,1696.1866518410664,1696.5450554760066,169774.69770384324,533.0,20.57874138321681,21.03388357949609,13.899566012887268,19.39604059582341,21.76144217061021,533.0,2770.838649155722,2716.0,211.93304785736376,2752.805468670577,2788.8718296408674,34.90907419375883,0.1212120631727737,1024.909074193759,3.558712063172774,477.0,1985.802935010482,1986.0,1.315291362252573,1985.684599103695,1985.921270917269,145029.49659427296,477.0,25.639485854065462,23.838401390095555,11.251362469873094,24.627208104304707,26.651763603826225,477.0,3430.524109014675,3384.0,221.7344206569853,3410.574807675556,3450.473410353795,50.91496626116294,0.1767880772957046,1040.914966261163,3.614288077295705,-0.05557601412293088,-0.05557601412293112
304,527.0,1715.4478178368122,1715.0,2.0793731645926403,1715.2698769818212,1715.6257586918032,177213.20161364364,527.0,20.2480509481896,21.03388357949609,13.809482239651729,19.066314490996884,21.42978740538231,527.0,2775.696394686907,2716.0,226.80394467816865,2756.2878111201944,2795.10497825362,34.73447481452044,0.1142581408372382,1024.7344748145204,3.370837088205659,411.0,2000.6569343065687,2001.0,0.788062980685875,2000.5805204672624,2000.7333481458763,151950.08938669777,411.0,25.89686742301733,23.838401390095555,10.772858459892282,24.8522866021856,26.94144824384906,411.0,3430.413625304136,3380.0,228.00311125229751,3408.3055025630065,3452.5217480452657,51.81074738667751,0.1704300900877549,1041.8107473866776,3.4270090374561764,-0.05617194925051669,-0.05617194925051727
320,529.0,1734.5066162570888,1734.0,2.0422742647691168,1734.3321823210383,1734.6810501931393,184490.50410112104,529.0,20.69105027435664,21.03388357949609,14.471655209802936,19.455002882015904,21.92709766669737,529.0,2790.833648393195,2716.0,177.13914108698629,2775.7039088956885,2805.963387890701,35.888763598179644,0.1121523862443113,1025.8887635981796,3.2059023862443112,479.0,2014.6805845511485,2015.0,1.2660099713443258,2014.5669217114096,2014.7942473908868,158834.11120045758,479.0,25.72954805569815,23.838401390095555,10.965609717986704,24.745051591829537,26.71404451956676,479.0,3453.286012526096,3388.0,189.09132977587808,3436.3093235593883,3470.2627014928034,51.836820917090805,0.1619900653659087,1041.8368209170908,3.2557400653659085,-0.04983767912159741,-0.04983767912159731
