size,t_stat,p_one_tailed,significant_at_0.01
16,-4.895497433297749,0.9999994282582019,False
32,-8.352816112357681,0.9999999999999999,False
48,-6.263568001158394,0.9999999997200011,False
64,-7.717139174652369,0.9999999999999848,False
80,-6.942262319435106,0.9999999999964032,False
96,-6.477314289524697,0.9999999999266054,False
112,-6.9845124067213895,0.9999999999972876,False
128,-7.114923696205245,0.9999999999989191,False
144,-5.898082497882684,0.999999997444574,False
160,-6.32659341217099,0.9999999998067148,False
176,-6.919332380429704,0.999999999995798,False
192,-7.233253695020325,0.9999999999995098,False
208,-6.415100293167831,0.9999999998919511,False
224,-6.369195620842334,0.9999999998522591,False
240,-7.306000787143831,0.9999999999997196,False
256,-7.353704164688004,0.999999999999788,False
272,-7.272518315638564,0.9999999999996332,False
288,-6.386759079458069,0.9999999998703455,False
304,-7.037779349173562,0.9999999999981131,False
320,-6.264306852634614,0.99999999971967,False
336,-5.1760222013641,0.9999998610366586,False
352,7.723825592615261,1.4341022470962823e-14,True
368,7.077426586179894,1.4302839281335172e-12,True
384,7.731566047360509,1.3714221151992192e-14,True
400,5.153634540291392,1.5585965944035337e-07,True
416,6.125660901709508,6.64423078072992e-10,True
432,7.3190558480454415,2.612178757358525e-13,True
448,4.1882748515049295,1.5389106891739293e-05,True
464,6.266934233069484,2.7909035764896546e-10,True
480,4.836854153492318,7.640348975507222e-07,True
496,5.525631583823657,2.121076694808512e-08,True
512,4.356739613767271,7.290506741154907e-06,True
528,2.8615046623833047,0.0021554888832469856,True
544,2.1516794027434436,0.015839469701206393,False
560,3.299965811674009,0.000500950675131046,True
576,42.637925473687794,9.084625524210204e-212,True
592,46.364065351412975,1.5139520989807334e-241,True
608,45.752369949086415,3.5023787030808696e-231,True
624,41.274750193838905,2.201742116771165e-204,True
640,41.282096533570524,1.405653532400118e-202,True
656,40.83989451736275,2.3841236958060056e-200,True
672,32.30601944242979,3.3892639186169465e-147,True
688,41.66389811578037,2.1498374715985385e-206,True
704,38.97298225096314,1.3049013033741851e-194,True
720,39.893019469582796,3.191410717858079e-194,True
736,37.75421789473103,1.0506370642294375e-182,True
752,37.515299810524574,9.066223605937745e-180,True
768,33.49092344032233,4.454315310143354e-157,True
784,39.25325869233647,4.238825020033417e-196,True
800,38.54684544128533,2.540782243478946e-185,True
816,37.50879235801014,1.6285576473403324e-180,True
832,34.55678488587546,4.529423425159642e-163,True
848,40.08854112102161,4.6935036881996726e-198,True
864,40.45559426775244,2.112453381785577e-203,True
880,39.64935938463355,3.589920641665185e-193,True
896,36.62804076342699,2.3342218563785112e-175,True
912,38.36643324045432,3.016290466696392e-185,True
928,38.51991027024404,1.2449473160854422e-186,True
944,39.52738260102173,2.691801373565424e-196,True
960,38.619529541002734,4.7859375948708375e-188,True
976,38.66845648230223,2.45656075836987e-193,True
992,39.17081389388201,2.5244088669089925e-191,True
1008,38.209248629488854,4.416034626163261e-184,True
1024,39.59481537391271,3.3417934930176285e-192,True
1040,39.30065715287118,2.089990104750137e-191,True
1056,41.39583961527577,9.80075406572704e-210,True
1072,36.923151925713924,2.5856412411172786e-177,True
1088,37.764574240554346,9.033741465476645e-181,True
1104,37.16913808610468,1.7966253872156937e-178,True
1120,37.96898596283032,2.437962727269264e-183,True
1136,40.67626229908004,3.311952058052649e-204,True
1152,40.61210399666528,3.455827957580349e-197,True
1168,38.42642999908384,1.7426164639875698e-185,True
1184,28.75599778740068,4.5997098735504455e-125,True
1200,42.06591471771067,7.490067110403246e-207,True
1216,38.10099970877825,1.9252516391469137e-189,True
1232,39.354346784314494,5.785085497409041e-190,True
1248,39.9018920015025,8.832533681835214e-194,True
1264,38.56889787808432,4.902470604834312e-186,True
1280,39.94871609087179,1.3053481228471641e-194,True
1296,26.550682375715013,2.6157141626570615e-111,True
1312,38.09773411165153,2.9571514574996663e-183,True
1328,40.47703679932444,6.673000764934389e-204,True
1344,37.693577200083595,4.60740165688394e-182,True
1360,40.87127227259051,1.591802854035305e-201,True
1376,42.49529756244973,5.1044425808330766e-208,True
1392,37.822837667388654,8.832977548554667e-181,True
1408,40.706497171009964,7.54628601169833e-204,True
1424,34.57175820913156,1.4481455238479603e-162,True
1440,41.04940110027842,1.8376686291045764e-206,True
1456,40.34531342545201,2.2907612161799222e-197,True
1472,36.54187464528944,7.880503630969788e-175,True
1488,40.59793321246067,5.745025961872392e-198,True
1504,40.666654789677324,2.3472599851952803e-198,True
1520,43.06393279820257,1.2025081474453398e-216,True
1536,6.906189161527272,5.054879028852073e-12,True
1552,6.132199628659732,6.731349466006583e-10,True
1568,6.675334179698778,2.209966748417361e-11,True
1584,5.14347547198709,1.6979097464512112e-07,True
1600,6.4737471558725,8.06887382419531e-11,True
