size,n_time,mean_time,median_time,std_time,ci95_low_time,ci95_high_time,throughput_Bps,n_power,mean_power,median_power,std_power,ci95_low_power,ci95_high_power,n_mem,mean_mem,median_mem,std_mem,ci95_low_mem,ci95_high_mem,energy_uJ,energy_per_byte_uJ,total_duty_cycle_energy_uJ,total_duty_cycle_energy_per_byte_uJ
304,527.0,1715.4478178368122,1715.0,2.0793731645926403,1715.2698769818212,1715.6257586918032,177213.20161364364,527.0,20.2480509481896,21.03388357949609,13.809482239651729,19.066314490996884,21.42978740538231,527.0,2775.696394686907,2716.0,226.80394467816865,2756.2878111201944,2795.10497825362,34.73447481452044,0.1142581408372382,1024.7344748145204,3.370837088205659
320,529.0,1734.5066162570888,1734.0,2.0422742647691168,1734.3321823210383,1734.6810501931393,184490.50410112104,529.0,20.69105027435664,21.03388357949609,14.471655209802936,19.455002882015904,21.92709766669737,529.0,2790.833648393195,2716.0,177.13914108698629,2775.7039088956885,2805.963387890701,35.888763598179644,0.1121523862443113,1025.8887635981796,3.2059023862443112
336,520.0,1753.7576923076922,1753.0,2.085581860548883,1753.5780173200806,1753.9373672953038,191588.610829055,520.0,20.571857247878096,20.566463944396105,14.26917010673343,19.342553804722453,21.80116069103374,520.0,2783.151923076923,2716.0,218.33926949854404,2764.3417740799614,2801.962072073885,36.07805289352196,0.1073751574211963,1026.078052893522,3.053803728849768
352,526.0,1772.6596958174905,1772.0,2.063785496112284,1772.482920291812,1772.836471343169,198571.6721774224,526.0,21.05432208065065,21.03388357949609,14.158829147974688,19.84153399277025,22.26711016853104,526.0,2787.0456273764257,2716.0,182.52490974133323,2771.411281205408,2802.679973547444,37.32214817512965,0.1060288300429819,1027.3221481751295,2.9185288300429817
368,531.0,1791.954802259887,1791.0,2.012655832118577,1791.7832236115064,1792.1263809082675,205362.32249602745,531.0,21.14479671324861,21.501303214595964,14.521497584672494,19.906840929514043,22.382752496983176,531.0,2784.621468926553,2716.0,184.520372221147,2768.8911311513966,2800.3518067017103,37.89052001311492,0.1029633696008557,1027.8905200131148,2.7931807609052033
384,526.0,1811.182509505704,1810.0,2.1275870918114737,1811.0002689931648,1811.364750018242,212016.18168496937,526.0,21.35823370651409,21.03388357949609,14.82257247463494,20.08859204751064,22.627875365517543,526.0,2780.4543726235743,2716.0,213.2410235031085,2762.189008273939,2798.7197369732094,38.68365932317349,0.1007386961540976,1028.6836593231735,2.6788636961540977
400,530.0,1830.4415094339624,1830.0,2.0562444856093647,1830.266048805082,1830.6169700628425,218526.5128322479,530.0,19.934124551251585,20.56646394439616,14.092381355924228,18.73161283027928,21.13663627222388,530.0,2776.6245283018866,2716.0,224.7521898563843,2757.4462832778204,2795.802773325953,36.48824903283755,0.0912206225820938,1026.4882490328375,2.566220622582094
416,526.0,1849.6558935361213,1849.0,2.0906671207048326,1849.4768154391115,1849.834971633132,224906.6982965693,526.0,20.218120794283696,21.03388357949609,14.031250158707048,19.016260607067306,21.41998098150009,526.0,2784.2490494296576,2716.0,199.0610740189324,2767.198282250553,2801.2998166087623,37.39656628337205,0.0898955920273366,1027.396566283372,2.469703284335029
432,522.0,1868.712643678161,1868.0,2.109705454568654,1868.5312405666489,1868.8940467896728,231175.18975507145,522.0,20.433043397212487,20.332754126846226,14.294373141287888,19.2039411264046,21.66214566802037,522.0,2776.009578544061,2716.0,217.7700761126513,2757.284609465777,2794.734547622345,38.183486545195535,0.0883877003361007,1028.1834865451956,2.3800543670027676
448,524.0,1887.7442748091603,1887.0,2.1160105435276617,1887.5626787269505,1887.9258708913703,237320.2800709276,524.0,20.43176859153341,20.09904430929629,14.55402090179912,19.182742123184607,21.68079505988221,524.0,2779.9312977099235,2716.0,231.20235037673743,2760.089505732745,2799.7730896871017,38.569954182892815,0.0860936477296714,1028.5699541828928,2.2959150763011
